id,from,to,subject,date,body
gorgonez,헤이즈 후크 로웰<lowell@orbis.net>,모리스 예이츠<yates@orbis.net>; 메디나 고르고네즈<gorgonez@orbis.net>; 제이 오 케인<kane@orbis.net>; 스칼렛 프라이드<pride@orbis.net>; ann_onymous@geegle.com,2분기 오르비스 비타 정기 이사회 안내,2025-07-01,"안녕하십니까, 5명의 게스트 여러분.
일전 공지했던 바와 같이, 이번 2분기 정기 이사회는 제 전용 소형 크루즈에서 1박 2일로 진행하려고 합니다.
크루즈는 오후 5시에 마이애미에서 출항 예정이며, 노을이 지는 아름다운 멕시코 만을 항해한 후 익일 오전 10시 사리벨에 도착합니다.
승선을 위해 오후 4시 50분까지 마이애미 항구, Crucodile 크루즈 라인의 전용 터미널로 와 주시기 바랍니다.
멋진 항해를 기대해도 좋습니다!

- 재단 이사장 헤이즈 후크 로웰"
gorgonez,스칼렛 프라이드<pride@orbis.net>,메디나 고르고네즈<gorgonez@orbis.net>,RE: 저널리스트 오너머스 관련,2025-06-30,"고르고네즈, 무엇이든 100% 확신할 수는 없습니다. 
그렇지만 징후는 많아요.

무엇보다, 타이밍이 이상하게 좋다고 생각하지 않습니까? 지난 이사회 당시, 후크가 난민선을 추가 투입하자는 무리한 안건을 올리고 예이츠가 그걸 밀어붙이려 했을 때 말입니다. 왜 하필 딱 그 시점에 오너머스가 당신 회사의 비공개 보고서에 접근하여 마약과의 연관성을 주장하기 시작했을까요? 그 때문에 당신 프로젝트에서 예산이 삭감됐죠. 
더욱이, 이번 이사회에 오너머스를 초대하자는 아이디어가 예이츠로부터 나왔다는 말도 들리고 있어요.

나는 종종 그가 흐름을 통제하고 있다는 느낌을 받습니다. 마치 짜여진 시나리오를 미리 읽고 있는 사람처럼 말이죠.
더 말하고 싶지만, 이 채널은 그리 안전하지 않은 것 같아요.
직접 만나서 대화하는 것이 좋겠습니다.

------------ Original Message Information ------------
Subject: 저널리스트 오너머스 관련
Date : 2025-06-30
From: 메디나 고르고네즈<gorgonez@orbis.net>
 
"
gorgonez,garrett@gorgolabs.com,메디나 고르고네즈<gorgonez@orbis.net>,정기 연구결과 보고,2025-06-30,"고르고랩스 대표이사 메디나 고르고네즈 님
고르고랩스 항체공학연구실 팀장 세이지 클레이튼 님
협력기관 외부 감사 (오르비스 비타 윤리 및 규제 담당) 앨리엇 랜돌프 님
협력기관 외부 감사 (오르비스 비타 성과 검토 위원) 노엘 헌터 님

이번 달 정기 연구결과 보고 드립니다. 
이번 보고의 핵심 주제는 현재 고르고랩스를 대상으로 한 시민단체의 고발 쟁점이 되고 있는 당사의 신규 개발 의약품 Toxovex-CR의 합성마약 물질 함유 의혹에 대한 디펜스입니다.

보고서의 다음 페이지를 통해 내용을 확인하실 수 있습니다.
   
(전략) … 제안된 마약(공식 명칭 파이페닐;Phyphenil)의 주요 화학 성분은 피페리디닐 페닐아세틸-아미노-질산염(Piperidinyl+Phenylacetylaminonitrate)으로, 본사가 개발한 신약 Toxovex-CR에 함유된 페닐아세틸-아미노-질산염에 피페리딘 고리가 결합된 형태임이 지난 연구 결과(2025-05-03 정기 연구결과 보고 참조)로 보고된 바 있음. 그러나 해당 마약의 위험성은 피페리딘 고리(C5H10N-)가 페탐계열 합성 마약인 펜타닐과 동일한 4-아닐리도피페리딘(4-anilidopiperidine) 계열에 속해 유사한 골격을 가짐에 따라 지용성이 높은 페닐아세틸-아민계 물질이 중추신경계 수용체에 직접적인 작용을 하도록 유도하기 때문임. 비록 페닐아세틸-아민 골격은 여전히 향정신성 물질 계열과 비슷한 구조를 일부 모방할 가능성이 있으나, 질산염과 합성될 경우 니트라민 구조가 가해짐에 따라 중추신경계에 직접적인 작용을 하기 어려워짐. 즉, Toxovex-CR에 포함되는 페닐아세틸-아미노-질산염은 피페리딘 고리와의 결합 없이는 신경학적 이상의 주요한 유발 인자가 될 것으로 보기 어려움. ...(후략)

다음달 중 임상시험 결과가 마무리되는 대로 최종 보고서를 완성하여 다음 정기 연구 결과에서 보고드리도록 하겠습니다.

GORGOLABS 항체실험연구실
선임연구원 바바라 가렛"
yates,guest1234@geegle.com,모리스 예이츠<yates@orbis.net>,(제목 없음),2025-07-03,"나에게는 폭로하고자 하는 결정적인 정보가 있습니다.
이 소식이 알려지면 온 세상이 분노할 것이고, 아마 당신들은 심각한 곤경에 처하게 될 것입니다.
장담합니다: 두 번의 기회는 없을 겁니다.

이 정보로 거래를 하고 싶습니다.
관심이 있다면, 내일 따로 만나서 이야기합시다."
yates,메디나 고르고네즈<gorgonez@orbis.net>,모리스 예이츠<yates@orbis.net>,RE: 이사회 논의 준비,2025-07-02,"예이츠, 
확실히 해 두겠는데, 그 부분에서 당신의 도움은 필요 없습니다. 
Toxovex-CR의 개발은 충분히 성공적이에요. 참가자를 구하는 데 어려움이 있다고 해서 임상을 건너뛰는 허술한 학자는 없겠죠.
생각하고 있는 방법이 있습니다. '우리'가 아닌, '제' 역량만으로 해결될 겁니다.

당신이 집중해야 하는 문제는 현재 제기된 소송을 끝내는 겁니다: 저들이 말도 안되는 왜곡된 루머로 제 성과를 폄하하고 있는데, 그것이 사실이 아님에도 불구하고 소송이 너무 길어지고 있어요. 조속히 해결되었으면 합니다.

그러면, 이사회에서 뵙겠습니다.

------------ Original Message Information ------------
Subject: 이사회 논의 준비
Date : 2025-07-02
From: 모리스 예이츠<yates@orbis.net>"
yates,헤이즈 후크 로웰<lowell@orbis.net>,모리스 예이츠<yates@orbis.net>; 메디나 고르고네즈<gorgonez@orbis.net>; 제이 오 케인<kane@orbis.net>; 스칼렛 프라이드<pride@orbis.net>; ann_onymous@geegle.com,2분기 오르비스 비타 정기 이사회 안내,2025-07-01,"안녕하십니까, 5명의 게스트 여러분.
일전 공지했던 바와 같이, 이번 2분기 정기 이사회는 제 전용 소형 크루즈에서 1박 2일로 진행하려고 합니다.
크루즈는 오후 5시에 마이애미에서 출항 예정이며, 노을이 지는 아름다운 멕시코 만을 항해한 후 익일 오전 10시 사리벨에 도착합니다.
승선을 위해 오후 4시 50분까지 마이애미 항구, Crucodile 크루즈 라인의 전용 터미널로 와 주시기 바랍니다.
멋진 항해를 기대해도 좋습니다!

- 재단 이사장 헤이즈 후크 로웰"
kane,guest1234@geegle.com,제이 오 케인<kane@orbis.net>,(제목 없음),2025-07-03,"나에게는 폭로하고자 하는 결정적인 정보가 있습니다.
이 소식이 알려지면 온 세상이 분노할 것이고, 아마 당신들은 심각한 곤경에 처하게 될 것입니다.
장담합니다: 두 번의 기회는 없을 겁니다.

이 정보로 거래를 하고 싶습니다.
관심이 있다면, 내일 따로 만나서 이야기합시다."
kane,하비 테일러<taylor@orbis.net>,제이 오 케인<kane@orbis.net>,예정 확인,2025-07-01,"케인, 지난 번 얘기했던 건은 예정대로 진행될 겁니다.
우리 약속에는 변동 없는지 확인차 메일 드립니다."
kane,스칼렛 프라이드<pride@orbis.net>,제이 오 케인<kane@orbis.net>,카오스 앤 카본 캠페인 프로젝트,2025-07-01,"케인, Chaos & Carbon 프로젝트 관련 예산 초안은 오늘 중으로 재단에 넘길 예정입니다.
이번 이사회에서 특별 항목으로 분류되어 논의될 거에요. 

예산 항목 중 일부는 꽤 유연하게 운용할 수 있으니, 구상하고 있는 연출적 요구사항은 그 안에서 어느 정도 해결될 수 있을 겁니다.
'대중적 접근성'이라는 키워드는 계속 강조해 주길 바라요: 특히 이번에는, 재단 이사들 뿐 아니라 프라이드 파워 내부에서도 실제로 설득해야 하는 사람이 많아서 말이죠.

무대 뒤에 무엇이 있든 앞에서는 모두가 박수를 치는 게 중요한 법이니, 그를 위한 디테일은 당신의 방식대로 풀어도 괜찮습니다.
하지만, 물론, 서로의 손끝이 좀 섬세할 필요는 있겠죠."
kane,헤이즈 후크 로웰<lowell@orbis.net>,모리스 예이츠<yates@orbis.net>; 메디나 고르고네즈<gorgonez@orbis.net>; 제이 오 케인<kane@orbis.net>; 스칼렛 프라이드<pride@orbis.net>; ann_onymous@geegle.com,2분기 오르비스 비타 정기 이사회 안내,2025-07-01,"안녕하십니까, 5명의 게스트 여러분.
일전 공지했던 바와 같이, 이번 2분기 정기 이사회는 제 전용 소형 크루즈에서 1박 2일로 진행하려고 합니다.
크루즈는 오후 5시에 마이애미에서 출항 예정이며, 노을이 지는 아름다운 멕시코 만을 항해한 후 익일 오전 10시 사리벨에 도착합니다.
승선을 위해 오후 4시 50분까지 마이애미 항구, Crucodile 크루즈 라인의 전용 터미널로 와 주시기 바랍니다.
멋진 항해를 기대해도 좋습니다!

- 재단 이사장 헤이즈 후크 로웰"
pride,guest1234@geegle.com,스칼렛 프라이드<pride@orbis.net>,(제목 없음),2025-07-03,"나에게는 폭로하고자 하는 결정적인 정보가 있습니다.
이 소식이 알려지면 온 세상이 분노할 것이고, 아마 당신들은 심각한 곤경에 처하게 될 것입니다.
장담합니다: 두 번의 기회는 없을 겁니다.

이 정보로 거래를 하고 싶습니다.
관심이 있다면, 내일 따로 만나서 이야기합시다."
pride,제이 오 케인<kane@orbis.net>,스칼렛 프라이드<pride@orbis.net>,RE: 카오스 앤 카본 캠페인 프로젝트,2025-07-02,"오, 스칼렛, 초안을 정리해줘서 고마워요.
재단과의 조율은 역시 당신에게 맡기니 깔끔하군요!
예산 운용 범위 안에서 가능한 한 대중적이고, 감정적으로 열린 경험을 구성해 볼게요.

하지만 뭐… 물론 관객들이 무엇을 느끼게 될 지는 내 통제대로 되는 건 아니죠.
그것도 예술의 일부니까요. 내 말 무슨 뜻인지 알죠?

무대는 준비되고 있고, 타이밍만 잘 맞춘다면 우린 각자 원하는 걸 얻을 수 있을 겁니다.
당연히, 서로 방해하지 않는 선에서 말이에요. :)

------------ Original Message Information ------------
Subject: 카오스 앤 카본 캠페인 프로젝트
Date : 2025-07-01
From: 스칼렛 프라이드<pride@orbis.net>"
pride,헤이즈 후크 로웰<lowell@orbis.net>,모리스 예이츠<yates@orbis.net>; 메디나 고르고네즈<gorgonez@orbis.net>; 제이 오 케인<kane@orbis.net>; 스칼렛 프라이드<pride@orbis.net>; ann_onymous@geegle.com,2분기 오르비스 비타 정기 이사회 안내,2025-07-01,"안녕하십니까, 5명의 게스트 여러분.
일전 공지했던 바와 같이, 이번 2분기 정기 이사회는 제 전용 소형 크루즈에서 1박 2일로 진행하려고 합니다.
크루즈는 오후 5시에 마이애미에서 출항 예정이며, 노을이 지는 아름다운 멕시코 만을 항해한 후 익일 오전 10시 사리벨에 도착합니다.
승선을 위해 오후 4시 50분까지 마이애미 항구, Crucodile 크루즈 라인의 전용 터미널로 와 주시기 바랍니다.
멋진 항해를 기대해도 좋습니다!

- 재단 이사장 헤이즈 후크 로웰"
pride,메디나 고르고네즈<gorgonez@orbis.net>,스칼렛 프라이드<pride@orbis.net>,저널리스트 오너머스 관련,2025-06-30,"프라이드, 
당신이 며칠 전 했던 이야기가 정말 근거가 있는 것인지 궁금해요. 
그가 오너머스를 움직이고 있다는 건 단순한 당신의 추측인가요, 아니면 실제로 뭔가를 알고 있는 건가요?
지금 같은 상황에서는 아주 약간의 착각조차도 치명적일 수 있어서요.
알고 있는 한에서라도 말해주면 좋겠어요."
pride,엘리엇 랜돌프<randolph@orbis.net>,스칼렛 프라이드<pride@orbis.net>,G 정기 연구결과 보고,2025-06-30,"그간 안녕하셨습니까, 부회장님.
Glabs의 이번 정기 연구결과 보고서가 도착했습니다.
이번 보고서는 지난 번 오너머스에게 익명으로 넘겼던 합성마약과의 유사성 보고에 정면으로 반박하는 내용이 주입니다. 어떻게 처리할까요?  "
